date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
12:30:10	2448/2448	---M--	404	error ('Not%20Found')	text/html	date:Tue,%2012%20Nov%202013%2018:30:10%20GMT	http://localhost/robots.txt		(from )
12:30:10	8209/8209	---M--	200	added ('OK')	text/html	date:Tue,%2012%20Nov%202013%2018:30:10%20GMT	http://localhost/	C:/My%20Web%20Sites/something/localhost/index.html	(from )
12:30:11	904/904	---M--	200	added ('OK')	text/css	etag:%220a4e88562dcc1:0%22	http://localhost/Modules/Orchard.Localization/Styles/orchard-localization-base.css	C:/My%20Web%20Sites/something/localhost/Modules/Orchard.Localization/Styles/orchard-localization-base.css	(from http://localhost/)
12:30:11	16429/16429	---M--	200	added ('OK')	text/css	etag:%220e15cef86abcb1:0%22	http://localhost/Themes/WebsitePanel/Styles/Site.css	C:/My%20Web%20Sites/something/localhost/Themes/WebsitePanel/Styles/Site.css	(from http://localhost/)
12:30:11	1150/1150	---M--	200	added ('OK')	image/x-icon	etag:%22069d8f829cc1:0%22	http://localhost/modules/orchard.themes/Content/orchard.ico	C:/My%20Web%20Sites/something/localhost/modules/orchard.themes/Content/orchard.ico	(from http://localhost/)
12:30:11	1543/1543	---M--	200	added ('OK')	application/javascript	etag:%220d9d7d6f829cc1:0%22	http://localhost/Core/Shapes/scripts/html5.js	C:/My%20Web%20Sites/something/localhost/Core/Shapes/scripts/html5.js	(from http://localhost/)
12:30:12	6726/6726	---M--	200	added ('OK')	text/html	date:Tue,%2012%20Nov%202013%2018:30:11%20GMT	http://localhost/whatsnew	C:/My%20Web%20Sites/something/localhost/whatsnew.html	(from http://localhost/)
12:30:12	5077/5077	---M--	200	added ('OK')	text/html	date:Tue,%2012%20Nov%202013%2018:30:11%20GMT	http://localhost/license	C:/My%20Web%20Sites/something/localhost/license.html	(from http://localhost/)
12:30:12	5597/5597	---M--	200	added ('OK')	text/html	date:Tue,%2012%20Nov%202013%2018:30:12%20GMT	http://localhost/downloads	C:/My%20Web%20Sites/something/localhost/downloads.html	(from http://localhost/)
12:30:13	4025/4025	---M--	200	added ('OK')	text/html	date:Tue,%2012%20Nov%202013%2018:30:12%20GMT	http://localhost/demo	C:/My%20Web%20Sites/something/localhost/demo.html	(from http://localhost/)
12:30:13	5452/5452	---M--	200	added ('OK')	text/html	date:Tue,%2012%20Nov%202013%2018:30:12%20GMT	http://localhost/documentation	C:/My%20Web%20Sites/something/localhost/documentation.html	(from http://localhost/)
12:30:13	7221/7221	---M--	200	added ('OK')	text/html	date:Tue,%2012%20Nov%202013%2018:30:12%20GMT	http://localhost/works-with	C:/My%20Web%20Sites/something/localhost/works-with.html	(from http://localhost/)
12:30:13	3914/3914	---M--	200	added ('OK')	text/html	date:Tue,%2012%20Nov%202013%2018:30:13%20GMT	http://localhost/contact-us	C:/My%20Web%20Sites/something/localhost/contact-us.html	(from http://localhost/)
12:30:14	184/184	---M--	301	error ('Moved%20Permanently')	text/html	date:Tue,%2012%20Nov%202013%2018:30:13%20GMT	http://websitepanel.net/content/images/wsp_screenshot.png	C:/My%20Web%20Sites/something/websitepanel.net/content/images/wsp_screenshot.png	(from http://localhost/)
12:30:14	4521/4521	---M--	200	added ('OK')	image/png	etag:%22036436abeaecb1:0%22	http://localhost/Media/Default/HtmlWidget/install_webpi.png	C:/My%20Web%20Sites/something/localhost/Media/Default/HtmlWidget/install_webpi.png	(from http://localhost/)
12:30:14	13722/13722	---M--	200	added ('OK')	text/html	date:Tue,%2012%20Nov%202013%2018:30:14%20GMT	http://localhost/releases/1.2.0-released	C:/My%20Web%20Sites/something/localhost/releases/1.2.html	(from http://localhost/)
12:30:15	5077/5077	---M--	200	added ('OK')	text/html	date:Tue,%2012%20Nov%202013%2018:30:14%20GMT	http://localhost/License	C:/My%20Web%20Sites/something/localhost/License-2.html	(from http://localhost/)
12:30:15	15635/15635	---M--	200	added ('OK')	text/html	date:Tue,%2012%20Nov%202013%2018:30:14%20GMT	http://localhost/privacy-policy/privacy-policy	C:/My%20Web%20Sites/something/localhost/privacy-policy/privacy-policy.html	(from http://localhost/)
12:30:16	19957/19957	---M--	200	added ('OK')	text/html	date:Tue,%2012%20Nov%202013%2018:30:14%20GMT	http://localhost/terms-of-use/terms-of-use	C:/My%20Web%20Sites/something/localhost/terms-of-use/terms-of-use.html	(from http://localhost/)
12:30:17	39589/39589	---M--	404	error ('Not%20Found')	text/html	date:Tue,%2012%20Nov%202013%2018:30:15%20GMT	http://www.websitepanel.net/content/images/wsp_screenshot.png	C:/My%20Web%20Sites/something/www.websitepanel.net/content/images/wsp_screenshot.html	(from http://localhost/)
12:30:18	4161/4161	---M--	200	added ('OK')	text/html	date:Tue,%2012%20Nov%202013%2018:30:16%20GMT	http://localhost/Users/Account/LogOn?ReturnUrl=%2F	C:/My%20Web%20Sites/something/localhost/Users/Account/LogOn650d.html	(from http://localhost/)
12:30:18	7797/7797	---M--	200	added ('OK')	image/jpeg	etag:%22022872377dcb1:0%22	http://localhost/Themes/WebsitePanel/Styles/images/page_bg.jpg	C:/My%20Web%20Sites/something/localhost/Themes/WebsitePanel/Styles/images/page_bg.jpg	(from http://localhost/Themes/WebsitePanel/Styles/Site.css)
12:30:18	3085/3085	---M--	200	added ('OK')	image/png	etag:%220c631a2a7cb1:0%22	http://localhost/Themes/WebsitePanel/Styles/images/websitepanel_logo.png	C:/My%20Web%20Sites/something/localhost/Themes/WebsitePanel/Styles/images/websitepanel_logo.png	(from http://localhost/Themes/WebsitePanel/Styles/Site.css)
12:30:19	517/517	---M--	200	added ('OK')	text/xml	date:Tue,%2012%20Nov%202013%2018:30:18%20GMT	http://localhost/XmlRpc/LiveWriter/Manifest	C:/My%20Web%20Sites/something/localhost/XmlRpc/LiveWriter/Manifest	(from http://localhost/whatsnew)
12:30:19	364/364	---M--	200	added ('OK')	text/xml	date:Tue,%2012%20Nov%202013%2018:30:18%20GMT	http://localhost/whatsnew/rsd	C:/My%20Web%20Sites/something/localhost/whatsnew/rsd	(from http://localhost/whatsnew)
12:30:19	11165/11165	---M--	200	added ('OK')	text/xml	date:Tue,%2012%20Nov%202013%2018:30:19%20GMT	http://localhost/rss?containerid=668	C:/My%20Web%20Sites/something/localhost/rss669d	(from http://localhost/whatsnew)
12:30:19	74/74	---M--	200	added ('OK')	text/xml	date:Tue,%2012%20Nov%202013%2018:30:19%20GMT	http://localhost/rss?commentedoncontainer=668	C:/My%20Web%20Sites/something/localhost/rss8786	(from http://localhost/whatsnew)
12:30:20	4033/4033	---M--	200	added ('OK')	text/html	date:Tue,%2012%20Nov%202013%2018:30:19%20GMT	http://localhost/whatsnew/guidelines-for-code-contributions	C:/My%20Web%20Sites/something/localhost/whatsnew/guidelines-for-code-contributions.html	(from http://localhost/whatsnew)
12:30:20	7432/7432	---M--	200	added ('OK')	text/html	date:Tue,%2012%20Nov%202013%2018:30:19%20GMT	http://localhost/whatsnew/logo-contest	C:/My%20Web%20Sites/something/localhost/whatsnew/logo-contest.html	(from http://localhost/whatsnew)
12:30:20	4893/4893	---M--	200	added ('OK')	text/html	date:Tue,%2012%20Nov%202013%2018:30:20%20GMT	http://localhost/whatsnew/vote-for-your-favorite-features	C:/My%20Web%20Sites/something/localhost/whatsnew/vote-for-your-favorite-features.html	(from http://localhost/whatsnew)
